"Reference","Value","Qty","DIGIKEY PN","Customer Reference"
"C1,C3,C4","0.1u","3","399-C0805F104K1RACAUTOCT-ND","USB_SUPPLY"
"C2","3.3u","1","445-175569-1-ND","USB_SUPPLY"
"C5,C6","330p","2","399-C0805C331K5RACTUCT-ND","USB_SUPPLY"
"C8,C9","1u","2","478-KAF21KR72A105KUCT-ND","USB_SUPPLY"
"D2","5mA","1","160-1427-1-ND","USB_SUPPLY"
"D3","20mA","1","160-1426-1-ND","USB_SUPPLY"
"D4","10V","1","MMSZ10T1GOSCT-ND","USB_SUPPLY"
"J1","USB4056-03-A_REVA2","1","2073-USB4056-03-ACT-ND","USB_SUPPLY"
"J2","Conn_01x02","1","2057-PH1-02-UA-ND","USB_SUPPLY"
"Q4","PJA3406_R1_00001","1","3757-PJA3406_R1_00001CT-ND","USB_SUPPLY"
"R1","5k1","1","P5.1KADCT-ND","USB_SUPPLY"
"R2","10k","1","P16059CT-ND","USB_SUPPLY"
"R3,R4,R5,R13","1K,1k","4","P1.0KADCT-ND","USB_SUPPLY"
"R12","100K","1","P100KADCT-ND","USB_SUPPLY"
"R15","49.9k","1","541-CRCW080549K9FKEAHPCT-ND","USB_SUPPLY"
"U1","AO4805-MS","1","785-1055-1-ND","USB_SUPPLY"
"U3","CYPD3177-24LQXQ","1","448-CYPD3177-24LQXQ-ND","USB_SUPPLY"
