Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",0805,3,0.1u,
C2,0805,1,3.3u,
"C5, C6",0805,2,330p,
"C8, C9",0805,2,1u,
D2,0805,1,5mA,
D3,0805,1,20mA,
D4,D_SOD-123,1,10V,
J1,GCT_USB4056-03-A_REVA2,1,USB4056-03-A_REVA2,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
Q4,SOT-23_Handsoldering,1,PJA3406_R1_00001,
R1,0805,1,5k1,
R12,0805,1,100K,
"R13, R3, R4, R5",0805,4,1K,
R15,0805,1,49.9k,
R2,0805,1,10k,
U1,SOP-8_3.9x4.9mm_P1.27mm,1,AO4805-MS,C3008143
U3,QFN24_CYPD3177_INF,1,CYPD3177-24LQXQ,C2959321
