Designator,Mid X,Mid Y,Rotation,Layer
C1,9.9775,18.51,180.0,top
C2,17.7075,26.52,90.0,top
C3,9.9775,20.67,180.0,top
C4,9.9775,22.82,180.0,top
C5,15.3275,15.48,90.0,top
C6,16.0475,12.08,0.0,top
C8,13.5406,26.52,90.0,top
C9,25.6956,19.69,90.0,top
D2,20.9075,13.15,90.0,top
D3,28.6275,2.895,0.0,top
D4,21.5656,24.99,180.0,top
J1,15.1675,4.639,0.0,top
J2,28.537,25.29,180.0,bottom
Q4,24.0175,8.17,270.0,top
R1,3.8075,15.92,0.0,top
R12,24.055,2.85,0.0,top
R13,23.0075,13.32,270.0,top
R15,21.5956,27.27,180.0,top
R2,15.6306,26.54,90.0,top
R3,9.9575,27.27,180.0,top
R4,3.8075,9.47,180.0,top
R5,28.74,7.337,0.0,top
U1,21.6406,19.66,180.0,top
U3,10.8475,14.01,0.0,top
