Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",1210,2,0.1u,C304007
C10,1210,1,3.3u,C575409
"C2, C8, C9",1210,3,1u,C382212
C4,1210,1,1u,C304007
"C5, C6",1210,2,330p,C5144765
D2,0805,1,5mA,C5349939
D3,0805,1,20mA,C84260
D4,D_SOD-123FL,1,10V,C551630
J1,GCT_USB4056-03-A_REVA2,1,USB4056-03-A_REVA2,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,C27985187
"Q1, Q3",SOT-23_Handsoldering,2,2305-B,C22362821
Q4,SOT-23_Handsoldering,1,NTR4503NT1G,C94763
"R1, R4, R7, R8",1210,4,2k,C396544
"R10, R15",1210,2,49.9k,C422286
"R11, R13, R3",1210,3,1k,C3152371
R12,1210,1,100K,C910966
R14,1210,1,2.21K,C174501
R2,1210,1,10k,C3018181
R9,1210,1,0,C3018186
"RV1, RV2, RV3, RV4",Potentiometer_Bourns_3296W_Vertical,4,25K,C55264
"TP1, TP2, TP3",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,3,~,
"TP10, TP11, TP12, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,9,TestPoint,
U1,AO4805-MS,1,AO4805-MS,C3008143
U3,QFN24_CYPD3177_INF,1,CYPD3177-24LQXQ,C2959321
