Designator,Mid X,Mid Y,Rotation,Layer
C1,83.7375,-60.45,180.0,top
C10,95.59,-54.4675,90.0,top
C2,79.49,-64.24,0.0,top
C3,83.7375,-57.01875,180.0,top
C4,83.7375,-53.5875,180.0,top
C5,91.575,-68.15,0.0,top
C6,90.675,-72.675,270.0,top
C8,88.73,-54.4675,90.0,top
C9,106.6975,-62.02,90.0,top
D2,106.3475,-76.24,90.0,top
D3,114.2,-86.465,0.0,top
D4,101.315,-56.72,180.0,top
J1,96.26,-86.031,0.0,top
J2,114.2175,-55.0275,0.0,top
J3,114.2175,-70.015,0.0,top
Q1,102.0,-69.9075,0.0,top
Q3,108.875,-69.9075,0.0,top
Q4,106.46,-81.25,270.0,top
R1,87.06,-82.199,270.0,top
R10,113.6,-79.375,0.0,top
R11,113.6,-76.1,180.0,top
R12,106.3475,-86.07,0.0,top
R13,100.08,-76.84,270.0,top
R14,113.6,-82.775,0.0,top
R15,101.565,-53.5675,180.0,top
R2,92.16,-54.4375,90.0,top
R3,91.42,-62.76,180.0,top
R4,69.72,-82.199,270.0,top
R7,80.124,-82.199,270.0,top
R8,83.592,-82.199,270.0,top
R9,91.4,-59.25,0.0,top
RV1,62.995,-82.545,90.0,top
RV2,57.335,-82.545,90.0,top
RV3,57.335,-72.11,90.0,top
RV4,62.995,-72.11,90.0,top
U1,101.815,-62.02,270.0,top
U3,85.76,-67.5,0.0,top
