Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C3, C8, C9",CP_EIA-2012-12_Kemet-R_HandSolder,6,10u,
"C11, C13, C14, C2, C21, C23, C24, C4, C5, C6, C7",0805,11,0.1u,
"C15, C17, C18, C19, C20, C22, C25",0805,7,10u,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,GCT_USB4056-03-A_REVA2,1,USB4056-03-A_REVA2,
L1,1008,1,4.7u,
PS1,CONV_TEC_2-0921,1,TEC_2-0921,
"R1, R2",0805,2,10k,
R3,0805,1,80k,
R4,0805,1,100k,
"R5, R6",0805,2,4.7k,
"U1, U2, U4, U5",LINX_CONSMA020.062-G,4,CONSMA020.062-G,
U10,TLA2021IRUGR,1,TLA2021IRUGR,
U3,DBQ16_TEX,1,ISO7741FQDBQRQ1,
U6,TPS62745DSSR,1,TPS62745DSSR,
U7,QFP50P900X900X120-48N,1,DAC8734SPFBR,DAC8734SPFBR
U9,TPT72617SO1R,1,TPT72617-SO1R,
