Designator,Mid X,Mid Y,Rotation,Layer
C1,53.0849,16.1526,270.0,top
C10,45.8585,29.018,270.0,top
C11,43.6235,25.548,180.0,top
C12,43.5735,23.448,0.0,top
C13,58.0649,34.808,180.0,top
C14,58.0649,29.3637,180.0,top
C15,34.606,15.4755,0.0,top
C17,31.251,24.148,90.0,top
C18,58.0649,31.5332,180.0,top
C19,58.0649,36.992,180.0,top
C2,50.991,16.1626,270.0,top
C20,32.1585,37.368,180.0,top
C21,32.1585,35.264667,180.0,top
C22,32.1585,31.058,180.0,top
C23,32.1585,33.161333,180.0,top
C24,29.171,24.148,90.0,top
C25,39.251,19.4355,180.0,top
C3,46.361,16.4555,270.0,top
C4,56.526,17.878,0.0,top
C5,48.4649,16.4655,270.0,top
C6,43.7385,28.968,90.0,top
C7,61.191,25.7126,270.0,top
C8,56.536,15.818,180.0,top
C9,59.1449,25.7026,90.0,top
J1,53.4249,40.9926,90.0,bottom
J2,27.636,40.9926,90.0,bottom
J5,4.686,36.7376,270.0,top
L1,35.131,19.3555,90.0,top
PS1,16.576,31.0876,270.0,top
R1,38.871,35.188,270.0,top
R2,40.975267,37.188,90.0,top
R3,25.986,19.868,90.0,top
R4,25.086,22.998,180.0,top
R5,24.951,28.988,0.0,top
R6,28.901,28.988,180.0,top
U1,25.114333,0.0855,0.0,top
U10,26.721,25.6555,0.0,top
U2,53.981,0.0855,0.0,top
U3,53.1149,34.2626,270.0,top
U4,39.547667,0.0855,0.0,top
U5,10.681,0.0855,0.0,top
U6,38.150997,16.225499,0.0,top
U7,51.8349,24.0126,270.0,top
U9,26.971,34.198,270.0,top
