Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14, C15, C17, C18, C2, C20, C21, C23, C3, C32, C4, C5, C6, C8, C9",0805,18,0.1u,
"C10, C13, C16, C19, C22, C7",0805,6,1n,
"C24, C42, C43",0805,3,1u,
C25,0805,1,10u,
C26,0805,1,22u,
"C27, C29",0805,2,8p,
"C28, C31",0805,2,10p,
"C33, C36, C37, C38, C39, C40, C41, C44, C45, C46, C49, C50, C51, C52",0805,14,100n,
"C34, C48",0805,2,2.2u,
"C35, C47",0805,2,4.7u,
"D1, D15, D16, D2, D3, D4, D5, D6",0805,8,20mA,
"D10, D11, D12, D13, D14, D17, D7, D8, D9",ESDALC6V1W5,9,ESDA6V1W5,
J1,PinSocket_1x05_P2.54mm_Vertical,1,ENCODER,
J10,PinHeader_1x08_P2.54mm_Horizontal,1,PWM,
J11,PinSocket_1x06_P2.54mm_Vertical,1,I2C DISPLAY,
"J12, J13, J15, J16, J17, J18, J19, J20, J21, J22, J23, J8, J9",CUI_TB002-500-02BE,13,TB002-500-02BE,
J14,PinHeader_1x03_P2.54mm_Horizontal,1,SM_UART,
J2,PinSocket_1x02_P2.54mm_Vertical,1,5V@1A,
J24,GCT_USB4105-GF-A-SMD,1,USB4105-GF-A,
J25,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,PinSocket_1x06_P2.54mm_Vertical,1,SPI_DAC,
J4,PinSocket_1x04_P2.54mm_Vertical,1,I2C_DAC,
J5,PinHeader_2x10_P2.54mm_Horizontal,1,JTAG_20PIN,
J6,GCT_USB4056-03-A_REVA2,1,USB4056-03-A_REVA2,
L2,IND_VLS3012CX-2R2M-1,1,2.2u,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23_DMP2123L_DIO,6,DMP2123L-7,
"R1, R16, R18, R23, R24, R25, R26, R27, R3, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R5, R7, R9",0805,22,10k,
"R10, R11",0805,2,4.7k,
"R12, R2, R22, R29, R30, R4, R6, R8",0805,8,1K,
R13,0805,1,33k,
R14,0805,1,68k,
"R15, R17",0805,2,5.1k,
R19,0805,1,100K,
R20,0805,1,470K,
R21,0805,1,150K,
R28,0805,1,0,
TP1,TestPoint_Pad_1.0x1.0mm,1,PG,
"U1, U11, U13, U14, U15, U16",ACS724LLCTR_2P5AB_T,6,ACS724LLCTR-2P5AB-T,
"U10, U12, U3, U5, U7, U8",INA745BQWRELRQ1,6,INA745BQWRELRQ1CT,
U18,USBLC6-2SC6,1,USBLC6-2SC6,
U4,BLM21_TALL_MUR,1,BLM21HE601SN1L,
U6,DSG0008A_NV,1,TPS62162QDSGTQ1,
U9,LQPF_25VGT3_STM,1,STM32H725VGT3,
X1,XTAL_ECS-.327-7-16-C-TR,1,32.768 kHz,
Y1,XTAL_ABM10AIG-24.000MHZ-8-3Z-T3,1,24 MHz,
