"Reference","Value","Qty","DIGIKEY PN","Customer Reference"
"BOM3,BOM4,BOM5,BOM6,BOM7,BOM8,R28","0","7","541-2827-1-ND","uMMC"
"C27,C29","8p","2","478-08055A8R0JAT2ACT-ND","uMMC"
"C28,C31","10p","2","4713-GMC21CG100F50NTCT-ND","uMMC"
"C7,C10,C13,C16,C19,C22","1n","6","399-17171-1-ND","uMMC"
"C1,C2,C3,C4,C5,C6,C8,C9,C11,C12,C14,C15,C17,C18,C20,C21,C23,C32","0.1u","18","445-C2012X7R2A104K125DACT-ND","uMMC"
"C33,C36,C37,C38,C39,C40,C41,C44,C45,C46,C49,C50,C51,C52","100n","14","1276-1003-1-ND","uMMC"
"C24,C42,C43","1u","3","1276-1029-1-ND","uMMC"
"C34,C48","2.2u","2","1276-2954-1-ND","uMMC"
"L2","2.2u","1","445-180922-1-ND","uMMC"
"C35,C47","4.7u","2","490-GRM21BR71C475KE51KCT-ND","uMMC"
"C25","10u","1","1276-2872-1-ND","uMMC"
"C26","22u","1","1276-CL21A226MAYNNNECT-ND","uMMC"
"D1,D2,D3,D4,D5,D6,D16","20mA","7","160-1427-1-ND","uMMC"
"D15","20mA","1","732-4986-1-ND","uMMC"
"Y1","24 MHz","1","535-ABM10AIG-24.000MHZ-8-3Z-T3CT-ND","uMMC"
"X1","32.768 kHz","1","XC2842CT-ND","uMMC"
"R2,R4,R6,R8,R12,R22,R29,R30","1K","8","P1.0KADCT-ND","uMMC"
"R10,R11","4.7k","2","A129757CT-ND","uMMC"
"R15,R17","5.1k","2","2019-RK73H2ATTD5101FCT-ND","uMMC"
"R1,R3,R5,R7,R9,R16,R18,R23,R24,R25,R26,R27,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40","10k","22","541-10.0KCCT-ND","uMMC"
"R13","33k","1","541-33.0KCCT-ND","uMMC"
"R14","68k","1","2019-RK73H2ATTD6802FCT-ND","uMMC"
"R19","100K","1","P100KADCT-ND","uMMC"
"R21","150K","1","10-ERJ-UP6F1503VCT-ND","uMMC"
"R20","470K","1","10-ERJ-UP6J474VCT-ND","uMMC"
"J3,J11","I2C DISPLAY,SPI_DAC","2","2057-RS1-06-G-ND","uMMC"
"J2","5V@1A","1","2057-RS1-02-G-ND","uMMC"
"U1,U11,U13,U14,U15,U16","ACS724LLCTR-2P5AB-T","6","620-ACS724LLCTR-2P5AB-TCT-ND","uMMC"
"U4","BLM21HE601SN1L","1","490-BLM21HE601SN1LCT-ND","uMMC"
"J25","Conn_01x03_Pin","1","2057-PH1-03-UA-ND","uMMC"
"BOM10","DFRobot - DFR0650 - Display","1","1738-DFR0650-ND","uMMC"
"BOM11","Display Header","1","2057-PH1-06-UA-ND","uMMC"
"Q1,Q2,Q3,Q4,Q5,Q6","DMP2123L-7","6","DMP2123LDICT-ND","uMMC"
"J1","ENCODER","1","2057-RS1-05-G-ND","uMMC"
"D7,D8,D9,D10,D11,D12,D13,D14,D17","ESDA6V1W5","9","497-7231-1-ND","uMMC"
"J4","I2C_DAC","1","2057-RS1-04-G-ND","uMMC"
"U3,U5,U7,U8,U10,U12","INA745BQWRELRQ1CT","6","296-INA745BQWRELRQ1CT-ND","uMMC"
"J5","JTAG_20PIN","1","2057-PH2RA-20-UA-ND","uMMC"
"BOM2","Jumper","1","732-2678-ND","uMMC"
"TP1","PG","1","738-RNCF0805DTE20R0CT-ND","uMMC"
"J10","PWM","1","PH1RB-08-UA","uMMC"
"J14","SM_UART","1","PH1RB-03-UA","uMMC"
"U9","STM32H725VGT3","1","497-STM32H725VGT3-ND","uMMC"
"J8,J9,J12,J13,J15,J16,J17,J18,J19,J20,J21,J22,J23","TB002-500-02BE","13","102-6145-ND","uMMC"
"U6","TPS62162QDSGTQ1","1","296-48202-1-ND","uMMC"
"J24","USB4105-GF-A","1","2073-USB4105-GF-ACT-ND","uMMC"
"J6","USB4056-03-A_REVA2","1","2073-USB4056-03-ACT-ND","uMMC"
"U18","USBLC6-2SC6","1","497-5235-1-ND","uMMC"
