"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE4","I/O","",""
"3","PE5","I/O","",""
"4","VDD","Power","",""
"5","VBAT","Power","",""
"6","PC13","I/O","",""
"7","PC14-OSC32_IN","I/O","RCC_OSC32_IN",""
"8","PC15-OSC32_OUT","I/O","RCC_OSC32_OUT",""
"9","VSSSMPS","Power","",""
"10","VLXSMPS","Power","",""
"11","VDDSMPS","Power","",""
"12","VFBSMPS","Power","",""
"13","PH0-OSC_IN","I/O","RCC_OSC_IN",""
"14","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"15","NRST","Reset","",""
"16","PC0","I/O","",""
"17","PC1","I/O","",""
"18","PC2_C","I/O","SPI2_MISO",""
"19","PC3_C","Output","GPIO_Output","SPI2_CS_GPIO_OUTPUT"
"20","VDD","Power","",""
"21","VSS","Power","",""
"22","VSSA","Power","",""
"23","VREF+","MonoIO","",""
"24","VDDA","Power","",""
"25","PA0","I/O","TIM2_CH1",""
"26","PA1","I/O","TIM2_CH2",""
"27","PA2","I/O","ADC2_INP14",""
"28","PA3","I/O","ADC2_INP15",""
"29","VSS","Power","",""
"30","VDD","Power","",""
"31","PA4","I/O","",""
"32","PA5","I/O","ADC2_INP19",""
"33","PA6","I/O","ADC2_INP3",""
"34","PA7","I/O","TIM3_CH2",""
"35","PC4","I/O","ADC2_INP4",""
"36","PC5","Output","GPIO_Output","INDICATOR1_RED"
"37","PB0","Output","GPIO_Output","INDICATOR2_GREEN"
"38","PB1","I/O","ADC2_INP5",""
"39","PB2","I/O","",""
"40","PE7","I/O","",""
"41","PE8","I/O","",""
"42","PB10","I/O","I2C2_SCL",""
"43","PB11","I/O","I2C2_SDA",""
"44","VCAP","Power","",""
"45","VSS","Power","",""
"46","VDDLDO","Power","",""
"47","VDD","Power","",""
"48","PB12","I/O","",""
"49","PB13","I/O","SPI2_SCK",""
"50","PB14","I/O","TIM12_CH1",""
"51","PB15","I/O","SPI2_MOSI",""
"52","PD8","I/O","",""
"53","PD9","I/O","",""
"54","PD10","I/O","",""
"55","PD11","Input","GPIO_Input","GPIO_INPUT-SW_ENCODER"
"56","PD12","I/O","TIM4_CH1",""
"57","PD13","I/O","TIM4_CH2",""
"58","VSS","Power","",""
"59","VDD","Power","",""
"60","PD14","I/O","",""
"61","PD15","I/O","",""
"62","PC6","I/O","TIM8_CH1",""
"63","PC7","I/O","",""
"64","PC8","I/O","",""
"65","PC9","I/O","TIM3_CH4",""
"66","PA8","I/O","",""
"67","PA9","I/O","USB_OTG_HS_VBUS",""
"68","PA10","I/O","",""
"69","PA11","I/O","USB_OTG_HS_DM",""
"70","PA12","I/O","USB_OTG_HS_DP",""
"71","PA13(JTMS/SWDIO)","I/O","DEBUG_JTMS-SWDIO",""
"72","VCAP","Power","",""
"73","VSS","Power","",""
"74","VDDLDO","Power","",""
"75","VDD","Power","",""
"76","VDD33USB","Power","",""
"77","PA14(JTCK/SWCLK)","I/O","DEBUG_JTCK-SWCLK",""
"78","PA15(JTDI)","I/O","DEBUG_JTDI",""
"79","PC10","I/O","UART4_TX",""
"80","PC11","I/O","UART4_RX",""
"81","PC12","I/O","",""
"82","PD0","I/O","",""
"83","PD1","I/O","",""
"84","PD2","I/O","",""
"85","PD3","I/O","",""
"86","PD4","I/O","",""
"87","PD5","I/O","",""
"88","VDD","Power","",""
"89","PB3(JTDO/TRACESWO)","I/O","DEBUG_JTDO-SWO",""
"90","PB4(NJTRST)","I/O","DEBUG_JTRST",""
"91","PB5","I/O","",""
"92","PB6","I/O","I2C1_SCL",""
"93","PB7","I/O","I2C1_SDA",""
"94","BOOT0","Boot","",""
"95","PB8","I/O","I2C4_SCL",""
"96","PB9","I/O","I2C4_SDA",""
"97","VCAP","Power","",""
"98","VSS","Power","",""
"99","VDDLDO","Power","",""
"100","VDD","Power","",""
